iter	Passed	Remaining
0	146	146069
1	146	73223
2	147	48923
3	147	36777
4	148	29484
5	148	24623
6	149	21156
7	149	18551
8	150	16522
9	150	14897
10	150	13567
11	151	12462
12	152	11549
13	152	10750
14	153	10055
15	153	9444
16	154	8914
17	154	8433
18	155	8005
19	155	7620
20	155	7271
21	156	6952
22	156	6667
23	157	6406
24	158	6167
25	158	5944
26	159	5737
27	159	5543
28	160	5362
29	160	5193
30	161	5036
31	161	4892
32	162	4763
33	163	4634
34	163	4513
35	164	4397
36	164	4287
37	165	4181
38	165	4081
39	166	3987
40	166	3898
41	167	3815
42	167	3737
43	168	3662
44	169	3588
45	169	3518
46	170	3452
47	170	3387
48	171	3324
49	171	3263
50	172	3204
51	172	3149
52	173	3096
53	173	3046
54	174	2996
55	174	2949
56	175	2902
57	175	2858
58	176	2813
59	177	2774
60	177	2731
61	178	2693
62	178	2655
63	179	2619
64	179	2584
65	180	2550
66	180	2517
67	181	2480
68	181	2449
69	182	2419
70	182	2388
71	183	2359
72	183	2332
73	184	2305
74	184	2278
75	185	2251
76	185	2228
77	186	2201
78	186	2177
79	187	2153
80	187	2130
81	188	2108
82	188	2087
83	189	2067
84	190	2047
85	190	2027
86	191	2006
87	191	1986
88	192	1967
89	192	1948
90	193	1929
91	193	1911
92	194	1895
93	194	1878
94	195	1861
95	195	1845
96	196	1829
97	197	1814
98	197	1798
99	198	1783
100	198	1768
101	198	1750
102	199	1735
103	199	1722
104	200	1709
105	201	1695
106	201	1682
107	201	1666
108	202	1653
109	202	1641
110	203	1628
111	203	1615
112	204	1603
113	204	1590
114	205	1580
115	205	1569
116	206	1557
117	206	1545
118	207	1533
119	207	1523
120	208	1512
121	208	1501
122	209	1491
123	209	1480
124	209	1469
125	210	1460
126	211	1451
127	211	1442
128	212	1432
129	212	1424
130	213	1415
131	213	1406
132	214	1397
133	214	1388
134	215	1379
135	215	1370
136	216	1362
137	216	1354
138	217	1346
139	217	1337
140	218	1330
141	218	1322
142	219	1314
143	219	1306
144	220	1299
145	220	1291
146	221	1284
147	221	1277
148	222	1270
149	222	1262
150	223	1255
151	223	1249
152	224	1242
153	224	1235
154	225	1228
155	225	1221
156	226	1215
157	226	1209
158	227	1203
159	228	1197
160	228	1191
161	229	1185
162	229	1177
163	229	1171
164	230	1165
165	230	1159
166	231	1153
167	231	1147
168	232	1142
169	232	1137
170	233	1131
171	233	1126
172	234	1120
173	234	1114
174	235	1109
175	235	1103
176	236	1098
177	236	1094
178	237	1089
179	238	1084
180	238	1079
181	239	1075
182	239	1070
183	240	1065
184	240	1060
185	241	1056
186	241	1051
187	242	1046
188	242	1041
189	243	1037
190	243	1032
191	244	1028
192	244	1023
193	245	1019
194	245	1014
195	246	1010
196	246	1005
197	247	1001
198	247	997
199	248	993
200	249	989
201	249	985
202	250	981
203	250	977
204	251	973
205	251	969
206	252	965
207	252	961
208	252	957
209	253	953
210	254	949
211	254	945
212	255	942
213	255	938
214	256	934
215	256	930
216	256	927
217	257	923
218	257	919
219	258	916
220	258	912
221	259	909
222	260	906
223	260	903
224	261	900
225	261	897
226	262	893
227	262	890
228	263	886
229	263	883
230	264	879
231	264	877
232	265	873
233	265	870
234	266	867
235	266	864
236	267	861
237	268	858
238	268	855
239	269	851
240	269	848
241	269	845
242	270	842
243	270	839
244	271	836
245	272	833
246	272	831
247	273	828
248	273	825
249	274	822
250	274	819
251	275	816
252	275	813
253	276	811
254	276	808
255	277	805
256	277	802
257	278	799
258	278	796
259	279	794
260	279	791
261	280	789
262	280	786
263	281	783
264	281	781
265	282	778
266	282	776
267	283	773
268	283	771
269	284	768
270	284	766
271	285	763
272	285	760
273	286	758
274	286	756
275	287	754
276	287	751
277	288	749
278	288	746
279	289	744
280	289	741
281	290	739
282	290	736
283	291	734
284	291	732
285	292	729
286	292	727
287	293	725
288	294	723
289	294	721
290	295	719
291	295	716
292	296	714
293	296	712
294	297	710
295	297	707
296	298	705
297	298	703
298	299	701
299	299	699
300	300	697
301	300	694
302	301	692
303	301	690
304	302	688
305	302	686
306	303	684
307	303	682
308	304	680
309	304	678
310	305	676
311	305	674
312	306	672
313	306	670
314	307	668
315	307	666
316	308	664
317	308	662
318	309	660
319	309	658
320	310	656
321	310	654
322	311	652
323	311	650
324	312	648
325	312	646
326	313	645
327	314	643
328	314	641
329	315	639
330	315	637
331	316	636
332	316	634
333	317	632
334	317	630
335	317	628
336	318	626
337	319	624
338	319	623
339	320	621
340	320	619
341	321	617
342	321	616
343	322	614
344	322	612
345	323	610
346	323	608
347	324	607
348	324	605
349	325	603
350	325	602
351	326	600
352	326	598
353	327	597
354	327	595
355	328	593
356	328	591
357	329	590
358	329	588
359	330	586
360	330	585
361	331	583
362	331	581
363	332	580
364	332	578
365	333	577
366	333	575
367	334	573
368	334	572
369	335	570
370	335	569
371	336	567
372	336	565
373	337	564
374	337	562
375	338	561
376	338	559
377	339	558
378	339	556
379	340	554
380	340	553
381	341	552
382	341	550
383	342	549
384	342	547
385	343	546
386	344	544
387	344	543
388	344	541
389	345	540
390	346	539
391	346	537
392	347	536
393	347	534
394	348	533
395	348	531
396	349	530
397	349	529
398	350	527
399	350	526
400	351	524
401	351	523
402	352	522
403	352	520
404	353	519
405	353	517
406	354	516
407	355	515
408	355	513
409	355	512
410	356	510
411	356	509
412	357	508
413	358	506
414	358	505
415	359	504
416	359	503
417	360	501
418	360	500
419	361	498
420	361	497
421	362	496
422	362	495
423	363	493
424	363	492
425	364	491
426	364	489
427	365	488
428	365	486
429	366	485
430	366	484
431	367	482
432	367	481
433	368	480
434	368	479
435	369	477
436	369	476
437	370	475
438	370	474
439	371	472
440	371	471
441	372	470
442	372	468
443	373	467
444	373	466
445	374	464
446	374	463
447	375	462
448	375	461
449	376	459
450	376	458
451	377	457
452	378	456
453	378	455
454	379	454
455	380	454
456	381	453
457	381	452
458	382	450
459	383	449
460	383	448
461	384	447
462	384	446
463	385	445
464	386	444
465	386	443
466	387	442
467	388	441
468	388	440
469	389	439
470	390	438
471	390	437
472	391	436
473	392	435
474	392	433
475	393	432
476	393	431
477	394	430
478	394	429
479	395	428
480	395	427
481	396	426
482	397	424
483	397	423
484	398	422
485	398	421
486	398	420
487	399	419
488	399	417
489	400	417
490	401	415
491	401	414
492	402	413
493	402	412
494	403	411
495	403	410
496	404	409
497	404	408
498	405	406
499	405	405
500	406	404
501	407	403
502	407	402
503	408	401
504	408	400
505	409	399
506	409	398
507	409	397
508	410	395
509	411	394
510	411	393
511	412	392
512	412	391
513	413	390
514	413	389
515	414	388
516	414	387
517	415	386
518	415	385
519	416	384
520	417	383
521	417	382
522	418	381
523	418	380
524	419	379
525	419	378
526	420	377
527	420	376
528	421	375
529	421	373
530	422	372
531	422	371
532	423	370
533	423	369
534	424	368
535	424	367
536	425	366
537	425	365
538	426	364
539	426	363
540	427	362
541	427	361
542	428	360
543	428	359
544	429	358
545	429	357
546	430	356
547	430	355
548	431	354
549	431	353
550	432	352
551	433	351
552	433	350
553	434	349
554	434	348
555	435	347
556	435	346
557	436	345
558	436	344
559	437	343
560	437	342
561	438	341
562	439	340
563	439	339
564	440	338
565	440	337
566	441	336
567	441	335
568	442	335
569	442	333
570	443	332
571	443	332
572	444	331
573	444	330
574	445	329
575	445	328
576	446	327
577	446	326
578	447	325
579	447	324
580	448	323
581	448	322
582	449	321
583	449	320
584	450	319
585	450	318
586	451	317
587	451	316
588	452	315
589	452	314
590	453	313
591	453	312
592	454	311
593	454	310
594	455	309
595	455	308
596	456	308
